input,category
大量的座位呈扇形同心圆围绕着主演讲台分布，这个会议室适合于学术报告。,0
这个会议室适合于学术报告。,0
中间有一个大桌子，椅子分布在桌子的周围，这个会议室适合于小组讨论。,4
一整个环形长桌分布，单侧配若干椅子，投影，窗户，白板。,5
标准圆圈状排列。,3
这个会议室适合于比赛，很多排椅子围成几个同心圆，没有桌子。,3
这个会议室适合进行小组讨论、研讨会、组会，八张椅子围着一张圆桌。,4
此虚拟会议室目的是开展展会，讲座，大型课堂，两列多排桌椅，分布紧密，房间正前方有投影，环形灯光。,2
数排座椅整齐排列为方阵，墙壁由黄白的梯形和三角形拼成，我想开展上课、展会。,0
这个会议室用途是展会，晚会，年会。,1
整个教室有两大列桌椅，中间有一个过道，我想拿这个会议室进行上课。,2
我想拿这个会议室进行课堂讨论，各椅子离其他椅子，讲台距离近。,3
普通的教室布局，有四排椅子，每排椅子前都由两个长桌拼成桌子，两边围绕窗户，我想开展学术会议、小组讨论。,2
我想拿这个会议室进行小组讨论，学术会议。,4
长的u型桌子，最前面一面没有桌子，其他三面都有桌子和椅子，最前面有投影，左边有窗户。,5
这个会议室适合进行小组讨论，宽大的桌子，5个座位环绕布局。,5
没有桌子，有多排黑色的椅子，此虚拟会议室目的是开展学术会议，小组讨论。,0
一个长方形桌子，桌子两边有十几张椅子，最前面有个屏幕，彼此面对，做得很紧凑，还有桌子可以摆放电脑。,4
桌子和椅子围在一起，这个会议室适合进行小组讨论。,1
这个会议室用途是学术会议、小组讨论、展会，讲台桌位于会议室前方，桌子竖向面向讲台桌，椅子呈U字形环绕桌子，讲台桌面向落地窗，地面铺竖条拼接的地毯。,4
桌椅分组，会议室中间有一张圆桌，它的东南西北四个方向各有一排桌椅，这一排桌椅是由三个桌椅拼在一起的，一侧墙面有投影，它的对面和右侧是黑板，讲台在投影的左侧，这个会议室用途是小组讨论。,3
两圈椅子面向中间，最中间的椅子更加紧密，很紧密，彼此能看到对方表情。,3
这个会议室用途是小组讨论，整个会议室分为五组桌椅，每组桌椅是由梯形单人桌围城的六边形大桌，周围有六把椅子，教室前方有两个电视。,1
我想拿这个会议室进行小组讨论，以教室中轴线为分界线，两边对称，每一边由内向外呈扇形分布，正常教室布局结构。,3
这个会议室用途是公司会议，皮质椅子，一张桌子，一张长方形大会议桌，周围围绕若办把皮质椅子。,4
这个会议室用途是小组讨论、组会、教学类的会议，布局由好几个桌椅围成的小圈组成，每个小圈由6张桌椅组成。,1
这个会议室适合于展会，投影仪位置居中。,0
环形整齐排列。,5
多层弧形桌子，每张弧形桌子有多个椅子。,2
很多组桌椅，若干椅子围着一个桌子，四周都是墙壁。,1
各位置到投影仪距离相近且无遮挡，C型、环形的桌子和椅子，C型桌子的缺口处有讲台和投影仪，这个会议室适合于学术会议。,5
视线比较集中在中央，无桌子，有椅子，椅子为折叠的沙发椅，围成大的半圆形，这个会议室适合进行学术会议，展会。,0
此虚拟会议室目的是开展比较正式的会议，工作会议，学术会议，每个人既可以看到彼此的面部，也可以看到白板的内容，在能认真听讲话人讲话的同时，还能够面对彼此，一定程度上促进交流。,5
我想开展感觉做啥都不行，没桌子开不了正式会议，又挤，不适合娱乐，4*5分布的可收起座位，顶端有圆点式的照明。,0
中型会议室，多排课桌椅，中间有走道，投影仪，落地窗，地板，课桌椅。,2
此虚拟会议室目的是开展西方的教室，用于人数中等的教学活动，每个学生可以拥有一张专属桌椅，用于书写记录课程内容；教师可以在内圈或讲台进行课程的讲授，也可以在内圈更好地与同学进行单人互动。,3
没有桌子，没有桌子，椅子排成一圈，有多圈，简易椅子，大房间，这个会议室适合于展会，宣讲。,3
大会堂，类似剧院和电影院，没有桌子，多排椅子，没有窗户，房间大，顶灯，大会堂。,0
没有桌子，椅子围绕中心点分散开来，这个会议室适合于小组讨论。,3
凹形桌，外围环绕摆放椅子，我想开展学术会议，办公会议，校园展览。,5
这个会议室用途是年会，商务会议，商务，两侧长桌对应了多把椅子，长桌中间有一短桌对应了四把椅子，每扇落地窗边各有一个沙发椅。,5
我想拿这个会议室进行晚会，年会，有很多圆形的桌子，每个桌子周围带有十把椅子。,1
多层环形排列，这个会议室适合进行小组讨论。,3
没有桌子，椅子从房间头到房间尾由低到高放置在阶梯上，全部面朝同一方向，此虚拟会议室目的是开展影视展览会议。,0
无桌子，椅子比较豪华，面向一个大屏幕，视线较集中，无桌子，氛围比较轻松。,0
此虚拟会议室目的是开展小组讨论，比较小，参会者距离近，有方便讨论的白板。,5
这个会议室适合进行学术会议，展会，无桌子，有椅子，椅子为折叠的沙发椅，围成大的半圆形，整体颜色为蓝色，有讲台。,0
一圈椅子排列成一个环放置，在环的两侧再沿着环防两排椅子，环的中心放置四张椅子和一张小圆桌，环的中心放置四张椅子和一张小圆桌。,3
没有桌子，有多排黑色的椅子。,0
我想拿这个会议室进行年会，晚会，阵列式方形桌，每桌围摆座椅，大型吊灯，有大投影屏幕，空间宽敞。,1
我想开展展会，晚会，视线较集中，无桌子，氛围比较轻松。,0
这个会议室适合于上课。,2
围绕一张小桌子，几十张椅子围绕中心点向四周呈射线式分散，聚集在一个中心，且在同一平面上便于交流，人数较多。,3
这个会议室适合于小组讨论，分组布局，每组可以方便交流，四张椅子围绕着一张小桌子，一共有多组这样的桌椅组合布满整个房间。,1
正方形的桌子间隔放置，每张桌子的靠近摄像头的两侧各放两张桌子，房间一侧有窗帘和窗户，没有投影，没有讲台，天花板上有挂灯。,1
这个会议室适合进行采访会议，环的中心放置四张椅子和一张小圆桌，一圈椅子排列成一个环放置，在环的两侧再沿着环防两排椅子，环的中心放置四张椅子和一张小圆桌。,3
此虚拟会议室目的是开展学术会议、研讨会，u型桌子，比较扁，三面都有椅子，最前面有投影和白板，左边是落地窗。,5
一样大的会议桌，两侧排放椅子，很大的落地窗，这个会议室适合于学术会议，小组讨论。,4
排列较为整齐。,4
五张桌子分布摆放，其中一张桌子位于会议室正前方，四张桌子两两分散在左右两侧，每张桌子配置五张椅子，每张桌子旁的椅子摆放结构与桌子和会议室的相对关系相同，这个会议室适合进行小组讨论、小型报告、年会。,1
此虚拟会议室目的是开展教室、考试。,2
u型会议室，由很多张桌子拼成一个大型u型会议桌，会议桌三边围绕着许多椅子，最前面有投影，右边有一整面落地窗。,5
我想拿这个会议室进行上课，整个教室有两大列桌椅，中间有一个过道。,2
小会议室，座位容纳6-8人，环绕演讲者，桌子拼成环形结构，有一个投影幕布，这个会议室用途是小组讨论。,5
我想开展小组讨论，每个房间只有一张圆形桌子，配若干休闲靠背座椅。,4
有很多桌子，桌子排列呈U型，很多椅子分布在桌子的一侧，我想拿这个会议室进行学术会议。,5
椅子围绕中心圆形放置逐渐向外扩展，最内圈是五把黄色的椅子，外围是黑色的椅子，此虚拟会议室目的是开展小组讨论，学术会议。,3
椭圆形白色桌，围摆座椅。,4
没有桌子，椅子拼成一个圈。,3
U型桌，镜子，我想开展学术会议小组讨论。,5
有七排椅子呈阶梯状分布，并且分为左右两部分，没有桌子，上方有一个摄像头。,0
中心化，规模适中，有投影设备，由中心向外呈同心圆状排列，这个会议室用途是学术会议，座谈会。,3
一张桌子配一张椅子，围在一起，有窗户，有小装饰品。,5
分散，分散，这个会议室适合进行小组讨论。,1
这个会议室适合进行小组讨论，较为简单的桌椅摆置，梯形桌子围成了一个圈，周围摆上办公椅子。,1
我想开展展会，年会，晚会。,0
凹形桌，外围环绕摆放椅子，凹口放置了投影仪，地面有地毯，灯光以点灯源居多，宽敞，明亮，有投影。,5
环绕的长桌和椅子，投影和讲台，环绕的布局。,5
同心圆由内向外辐射。,3
有许多张圆桌子，但是都分散在会议室各个部分，不靠在一起，每张桌子围绕着七张椅子，每个圆桌最前面没有椅子，有很多张桌椅子，能看到前面也能看到彼此。,1
有讲台，黑板，教室，独立座椅，排列整齐，有讲台、黑板，课程表，挂式电视、音响，这个会议室适合进行课程、小组讨论。,2
这个会议室用途是晚会，年会，五列圆桌，每个圆桌围绕半圈椅子，椅子都朝向正前方。,1
这个会议室适合于学术讨论，演说。,2
我想拿这个会议室进行讨论会、沙龙，彼此面对，靠的很近，围成一个圈。,3
桌椅呈U字型排列，面向投影仪，此虚拟会议室目的是开展年会、项目展示。,5
有许多张圆桌子，但是都分散在会议室各个部分，不靠在一起，每张桌子围绕着七张椅子，每个圆桌最前面没有椅子，最前面是站台，这个会议室适合于年会、晚会。,1
三面有椅子，都能看到最前面的投影，u型会议室，由很多张桌子拼成一个大型u型会议桌，会议桌三边围绕着许多椅子，我想拿这个会议室进行公司会议、组会。,5
按列和排规律分成三列排布，有两个过道，一侧有较大的窗户，有黑板、投影仪、顶灯。,2
一张大桌子，座位分列两侧，这个会议室用途是商业会议。,4
四张椅子围绕桌子的三面，布局靠得很近，便于沟通。,4
这个会议室适合进行公司会议。,5
这个会议室适合进行沙龙，大家都能看到中间的说话者。,3
此虚拟会议室目的是开展学术会议，四组长桌椅分布在会议室的两侧，每侧各两组，每张长桌对应五把椅子。,1
这个会议室适合进行采访会议，环的中心放置四张椅子和一张小圆桌。,3
这个会议室用途是年会，商务会议，商务。,5
这个会议室适合于学术报告，大量的座位呈扇形同心圆围绕着主演讲台分布。,0
有很多圆桌，每一个圆桌的周围有很多把椅子。,1
这个会议室用途是学术会议，海报和人数。,3
这个会议室适合于学术会议，两排桌椅，长条桌配若干办公椅。,2
这个会议室适合于小组讨论，每个圆桌将人聚集在一起，以大圆桌的方式组织，根据会议室大小圆桌均匀分布在会议室内。,1
这个会议室用途是公司会议。,4
每六个桌子成一组，围成一个六边形，房间内多组桌子错落排放，每组桌子的一条边上放置一张椅子，桌子和椅子成组。,1
"这个会议室适合于研讨会，学术会议，晚会等，十几排环形桌椅,中间会有过道。",2
几张小桌围绕一个圆桌，黑板投影适合学术展示与交流，桌椅相邻较近适合讨论，面积不够大去开晚会。,3
有很多排椅子，一个讲台和一扇门。,0
这个会议室适合于学术会议，讲座，宣讲会，阶梯教室里有7排椅子，中间有过道，除最后一排是14个椅子，其他排都是12把椅子。,0
这个会议室适合于小组讨论。,3
视线比较集中在前部，折叠椅配桌子，椅子比较豪华，一张桌子配一张椅子，蓝色窗帘，有讲台，我想开展学术会议。,2
多个圆桌，周围摆放着朝着同一方向的若干把椅子，有窗户，地毯。,1
这个会议室适合于年会，晚会。,1
桌子分散，且有中间焦点，五张桌子分布摆放，其中一张桌子位于会议室正前方，四张桌子两两分散在左右两侧，每张桌子配置五张椅子，每张桌子旁的椅子摆放结构与桌子和会议室的相对关系相同，正前方桌子面向窗户，两侧窗帘为暗灰色，天花板为LED顶灯，这个会议室适合进行小组讨论、小型报告、年会。,1
我想开展学术会议，中间有一个大桌子，很多椅子分布在桌子的周围，投影仪和窗户。,4
一张长方形的桌子，四面都有椅子，竖着摆放，做得很近，而且互相面对，可以看到每个人的表情。,4
桌子椅子间隔排列，会议室很大，窗户很多。,2
这个会议室适合于大型课堂教学，讲座，学术报告，阶梯式，座椅多，弧形桌，后排高于前排，皮质椅，有大窗户，房间前有白板和屏幕，灯光柔和。,2
这个会议室适合于小组讨论，工作讨论。,4
此虚拟会议室目的是开展西方的教室，用于人数中等的教学活动，每个学生可以拥有一张专属桌椅，用于书写记录课程内容；教师可以在内圈或讲台进行课程的讲授，也可以在内圈更好地与同学进行单人互动，外圈围绕着一圈小型书桌，每张书桌配有一张椅子，内圈有六张椅子围绕着一张大圆桌。,3
我想开展学术会议，展会，年会，座位充足，座位分布有明显中心化倾向。,3
三大列桌椅，每大列三小列，正前方靠左侧有一个讲台。,2
一圈蓝椅子随意地围成一圈，椅子都面向中间，彼此面对，靠的很近，围成一个圈。,3
这个会议室适合于小组讨论，开放式交流。,4
按行排列桌椅，一张桌子配一张椅子，有投影，广播，贴有标语，比较正式，作为宽敞，有投影仪，有扩音器。,2
凹形桌，外围环绕摆放椅子，凹口放置了投影仪，地面有地毯，灯光以点灯源居多。,5
若干圆桌，配黑色绒面座椅环绕摆放，窗户，配红色窗帘。,1
这个会议室用途是上课，典型的教室。,2
有两圈橙色的椅子，都面向一个中心点，最前面有投影仪，这个会议室用途是讨论、沙龙。,3
这个会议室适合于讲座、学术会议，都面向前方，有好多排白色的椅子，没有桌子，面向前方。,0
有很多桌子很多椅子，桌子排列呈U型，椅子分布在桌子分一侧。,5
我想开展展会、晚会。,0
此虚拟会议室目的是开展小组讨论，布局分散，无桌子，椅子随意排布。,3
有许多排红色椅子，有靠背，面向前方，中间有一个过道，最前面有一个长桌子和7张椅子，都面向前方，排列紧密。,0
我想开展公司会议、决策性会议、讨论，做得很近，而且互相面对，可以看到每个人的表情。,4
此虚拟会议室目的是开展董事会议，小组讨论，房间内只有一张长桌子，桌子较长的两侧各放置一排约九个椅子，桌子较窄的一侧放置一张椅子，较窄的另一侧正对显示屏，房间一侧有一个显示屏，另一侧是飘窗，房间内桌子正上方有两个挂灯。,4
这个会议室用途是适合学术会议和部门会议。,5
一张桌子，五把办公椅，电视适合进行在线的视频会议。,4
没有桌子，简单排列着椅子，椅子排放整齐，这个会议室适合于学术会议。,0
没桌子开不了正式会议，又挤，不适合娱乐，4*5分布的可收起座位，我想开展感觉做啥都不行。,0
没有桌子，椅子是折叠椅子。,0
这个会议室适合进行学术会议，公司会议。,5
这个会议室适合进行小组讨论。,1
我想拿这个会议室进行年会、晚会、讲座。,0
我想开展小组讨论和视频会议。,4
此虚拟会议室目的是开展演讲，讲座，主讲人突出，座椅舒适，一共两大列，8小列，每大列4小列共5排椅子，正前方有一张讲桌，正前方墙上有两个投影，右侧墙上有两块黑板。,0
我想拿这个会议室进行小组讨论，学术会议，布局集中，有是视线集中点，每个人对等，一张大桌子，很多张椅子，椅子围在桌子周围。,4
这个会议室适合进行小组讨论，左上方的讲台有一张桌子，前方和右方有直角的桌子，桌子旁边有多把椅子。,5
这个会议室适合进行学术会议，演讲，四排红色沙发椅子，每排八张，椅子有扶手和靠背。,0
此虚拟会议室目的是开展看电影、看表演。,0
椅子随意摆放，无桌子，我想拿这个会议室进行学术讨论。,3
房间内有很多圆桌，每张圆桌周围放约8张椅子，房间一侧有窗帘和窗户，另一侧有一个表演台。,1
长桌两侧分布多个座位，前方有个投影，上方有个吊灯。,4
一个圆桌，旁边围着很多椅子。,4
布局分散，无桌子，椅子随意排布，此虚拟会议室目的是开展小组讨论。,3
有八排椅子，都面向前方，没有过道，都面向前方，没有桌子，十分密集。,0
这个会议室适合进行小组讨论，桌子一小组一小组。,1
此虚拟会议室目的是开展董事会议，小组讨论。,4
椅子围成一圈，没有桌子，只有椅子围着。,3
这个会议室用途是学术会议。,0
此虚拟会议室目的是开展学术会议，小组讨论。,3
两侧长桌对应了多把椅子，长桌中间有一短桌对应了四把椅子，每扇落地窗边各有一个沙发椅，会议室前方有一投影，落地窗均分布在会议室一侧。,5
此虚拟会议室目的是开展上课，讲座，有黑板，有投影，桌椅多。,2
这个会议室适合进行商务会议，例如董事会会议或者商务谈判。,4
长桌的两侧各有一排椅子对称分布，这个会议室适合于股东大会。,4
长方形桌子放在房间中央，四周摆放办公桌椅。,4
此虚拟会议室目的是开展小组讨论。,3
梯形桌子围成了一个圈，周围摆上办公椅子，较为简单的桌椅摆置。,1
这个会议室用途是讨论、沙龙，没有桌子，都面向中心点，容易观察到每一个人的表情，有两圈橙色的椅子，都面向一个中心点，最前面有投影仪。,3
有很多圆形的桌子，每个桌子周围带有十把椅子，我想拿这个会议室进行晚会，年会。,1
我想开展小组会议，椅子围绕桌子，有多张桌子分布在会议室内。,1
一个长方形桌子，桌子两边有十几张椅子，最前面有个屏幕。,4
若干圆桌，每张桌子配椅子环绕摆放，舞台，显示屏，壁灯，落地窗帘，我想拿这个会议室进行年会，晚会。,1
一张桌子配一张椅子，有窗子，比较明亮，灯光为日光灯，有讲台，这个会议室用途是课堂。,2
这个会议室适合于小组讨论，组会。,4
我想开展小组讨论，宽松环绕。,3
这个会议室适合于小组讨论，开放式交流，座椅少，房间小巧，一张小方桌，围摆三张沙发椅。,4
多层环形排列，地板、墙纸色彩丰富，扁平化。,3
没有桌子，环绕式摆放几张椅子，有窗户。,3
C型、环形的桌子和椅子，C型桌子的缺口处有讲台和投影仪，这个会议室适合于学术会议。,5
围绕一张小桌子，几十张椅子围绕中心点向四周呈射线式分散，此虚拟会议室目的是开展交流型学术会议，年级破冰，团建游戏，演讲。,3
这个会议室用途是小组讨论，汇报。,5
我想开展公司会议，商务会谈，偏商务类型的布置更适合公司会议、商务会谈，整张长桌方便进行讨论，等级层次更分明，适合公司会议的情况，一张长桌，两边有皮质旋转椅均匀摆放。,4
此虚拟会议室目的是开展小组讨论，课堂教学，环绕式。,3
我想拿这个会议室进行年会。,0
这个会议室适合进行展会、晚会、学术会议、课堂，空间大，座位多，桌椅呈弧形阶梯布局，空间较大，类似大学教室的结构。,2
这个会议室适合进行小组讨论，五张椅子围成一圈，没有桌子，旁边有宽敞的窗户。,3
五排半圆形长桌，每一排10余张椅子，椅子数量每排递增，前方和后方都有黑板和白板，这个会议室适合于学术讨论，演说。,2
梯形桌子围成了一个圈，周围摆上办公椅子。,1
有一张长的、大的桌子，短的一端对应放映机，短的另一端放置一个椅子，领导位置，然后长的两端整齐放置椅子，这个会议室用途是公司会议。,4
我想开展公司会议，商务会谈，一张长桌，两边有皮质旋转椅均匀摆放，吊灯，显示屏，挂画。,4
凹形桌，整体较宽较长，桌面下空间大，座椅围摆在外侧，有投影，几面落地镜，空间宽敞，桌下空间支持灵活坐姿。,5
几张按列和排分布的圆形桌子，有红色座椅围绕每张桌子摆放，方向都向正前方，投影，吊灯，讲台，酒杯。,1
这个会议室用途是年会，商务会议。,5
椅子连在一起，椅子上带有小桌板，分布在会议室后方。,0
长桌两侧各有几把椅子。,4
此虚拟会议室目的是开展年会，晚会，拍卖会。,1
座位环绕布局适合交流，三边U形布局的长桌，长桌的外侧有多把椅子，这个会议室用途是适合学术会议和部门会议。,5
大会堂，大会堂，阶梯，多排桌子，阶梯状窗户，投影仪，灯带，我想开展晚会，学术会议，年会。,2
桌子很大，长条桌，周围是椅子，这个会议室适合于学术会议。,5
桌子由房间头到房间尾从低到高逐层放置在台阶上，每层上的桌子排列成直线，椅子是桌子自带的，这个会议室适合于学术会议，年会。,2
这个会议室适合进行吃饭，圆桌。,1
这个会议室用途是研讨会、组会、小组讨论，彼此面对，做得很紧凑，还有桌子可以摆放电脑。,4
分小组分布，没有窗户感觉很压抑。,1
这个会议室适合进行公司会议，桌椅排布很正式，u型，长的u型桌子，最前面一面没有桌子，其他三面都有桌子和椅子。,5
我想拿这个会议室进行年会、晚会、讲座，没有桌子，排列紧密而且正式。,0
这个会议室适合进行沙龙，大家都能看到中间的说话者，外围五圈白色椅子围绕着中间五张椅子，椅子中间有一张圆桌，墙上有一个投影，一侧有落地窗。,3
我想开展小组讨论。,4
这个会议室适合于学术会议。,2
我想拿这个会议室进行年会，晚会，椅子较多。,0
大致呈园圈状排列，有白板，联通式结构。,3
此虚拟会议室目的是开展西方的教室，用于人数中等的教学活动，外圈围绕着一圈小型书桌，每张书桌配有一张椅子，内圈有六张椅子围绕着一张大圆桌，正面有一个讲台，还有美国国旗，侧面有两张窗子。,3
这个会议室用途是小组讨论，面对面布局。,1
"大量、开放、开阔，十几排环形桌椅,中间会有过道，这个会议室适合于研讨会，学术会议，晚会等。",2
长方形桌子放在房间中央，椅子围绕桌子摆放，桌子正上方有一盏灯。,4
桌椅密集，桌椅分布在教师中间走廊的两侧，一张长桌对应两把椅子，一侧有三张长桌，会议室前方有一块黑板，这个会议室用途是课程教学。,2
每个房间只有一张圆形桌子，配若干休闲靠背座椅，吊灯，显示屏，我想开展小组讨论。,4
五排桌椅，两侧有过道；每个带桌布的长桌配四张椅子，投影，演讲台，一侧落地窗，透光窗帘，我想开展小型学术会议。,2
投影仪居中且屏幕大，数排、数列带桌子的椅子，所有椅子的前方有讲台和投影仪，会议室侧边有黑板，我想拿这个会议室进行学术会议。,0
这个会议室适合于讲座、学术会议。,0
这个会议室适合进行小组讨论，可容纳人数较少、中心化、可活动较自由。,4
折叠椅配桌子，椅子比较豪华，一张桌子配一张椅子，蓝色窗帘，有讲台，我想开展学术会议。,2
有几张桌子零散的分布，每张桌子带走多把椅子，这个会议室适合进行小组讨论。,3
我想开展小组讨论，一个圆桌，旁边围着很多椅子。,4
这个会议室适合于小组讨论。,1
这个会议室适合进行年会、晚会，有好多个圆桌彼此分开，每个圆桌各有10个椅子，围绕着圆桌，最前面有一个大讲台。,1
布局由好几个桌椅围成的小圈组成，每个小圈由6张桌椅组成，一个铁质小讲台和两个大屏幕，这个会议室用途是小组讨论、组会、教学类的会议。,1
这个会议室适合于学术会议，前排桌子不会遮挡后排，数排长条形状的桌子，每排有数个椅子。,2
有许多排红色椅子，有靠背，面向前方，中间有一个过道，最前面有一个长桌子和7张椅子，我想拿这个会议室进行讲座、宣讲会。,0
我想开展小课堂，分布较为紧凑整齐，整齐分布，较为紧凑，2列3排。,2
这个会议室适合进行小组讨论、低于5人的研讨课、论文答辩，布局靠得很近，便于沟通，四张椅子围绕桌子的三面。,4
整齐放置多排长桌子，每排桌子放置椅子，有窗户。,2
此虚拟会议室目的是开展年会、项目展示。,5
这个会议室用途是学术会议、小组讨论、展会。,4
没有桌子，环绕式摆放几张椅子，有窗户，这个会议室适合于小组讨论。,3
"十几排环形桌椅,中间会有过道。",2
分组，四组长桌椅分布在会议室的两侧，每侧各两组，每张长桌对应五把椅子，此虚拟会议室目的是开展学术会议。,1
小会议桌，围绕5-6把办公椅，小房间，有显示器、地毯，没有窗户，这个会议室适合于小组讨论。,4
一张很大的原木色长桌，周围摆放着许多白色滑轮椅子，桌子的两端各有一把椅子，落地窗，壁挂电视，短绒地毯，装饰多为原木色、灰色、白色的商务风格。,4
我想开展小组讨论，课堂，桌子较多，若干张梯形课桌拼成六边形，每个边有一把椅子，大房间内有多个六边形。,1
此虚拟会议室目的是开展学术会议，小组讨论，黑板投影适合学术展示与交流，桌椅相邻较近适合讨论，面积不够大去开晚会。,3
这个会议室适合于班会，它是个教室，桌椅呈矩形规则分布。,2
这个会议室适合于小组讨论，每个圆桌将人聚集在一起。,1
这个会议室适合进行商务会议，例如董事会会议或者商务谈判，可容纳人数多，宽大的长桌，桌椅比较精致舒适，商务风的装饰。,4
这个会议室适合进行小组讨论，座椅拜访很随意，没有桌子，很紧凑，促进大家的交流。,3
这个会议室适合进行晚会，年会，共有三排椅子，并且有两个过道。,0
我想拿这个会议室进行小组讨论。,3
这个会议室适合进行上课、小组讨论，四张小桌子拼成一个大桌子，每个桌子一张椅子。,1
我想开展晚会，学术会议，年会，大会堂，阶梯，多排桌子，阶梯状窗户，投影仪，灯带。,2
这个会议室适合进行上课，有很多排桌子和很多排椅子，有很多窗户。,2
六张桌子组成三排，中间有一个过道，每排桌子有8个椅子，最前面有讲台和投影，几排桌子面向前面。,2
此虚拟会议室目的是开展展会，年会，椅子数量多且全部面朝同一方向，没有桌子，椅子从房间头到房间尾放置在阶梯上，全部面朝同一方向，椅子数量多，房间的一侧似乎有一个讲台，房间中间的天花板上有一个投影仪，房间无窗。,0
很多组桌椅，若干椅子围着一个桌子，四周都是墙壁，这个会议室适合于上课、小组讨论。,1
这个会议室用途是研讨会、组会、小组讨论。,4
成组分散，座椅围坐，有窗户和置物柜，一个小讲台，这个会议室适合进行小组讨论。,1
